id;produkt_nummer;produkt_beschreibung;kurze_produkt_beschreibung;produkt_name;pl_beschreibung;pl;land;wahrung;incoterm;preis_status;datum_preisanderung;aktueller_listen_preis;aktueller_listenpreis_gultig;vorheriger_listenpreis;netto_preis;gultigkeits_datum_nettopreis;vorheriger_netto_preis;pa_nachlass;exhibit;uom;preisstaffel_von;preisstaffel_bis;eoq;plc_status;plc_gultigkeitsdatum;ersatz_produkt;marketing_programm;gewahrleistung;class_description;class_code;produkt_familien_beschreibung;produkt_familie;serien_beschreibung;series_code;modell_beschreibung;modell;standard_lieferzeit_distributoren;volumen;volumen_einheit;bruttogewicht_produkts;gewichtseinheit;produktabmessungen;ma_seinheit;ean_code;serialisierungs_kennung;pa_nummer;partner_name;partner_pro;datums_uhrzeitstempel
1;Health Planner Associate;Flat;Synchronised Global View;Outdoors;invoice Checking Account;Devolved Towels panel;Centers;lavender;COM Bedfordshire;Ergonomic Metal Bike Sports disintermediate;support New York;Bedfordshire;optimize West Virginia;Gloves software;iterate Savings Account;platforms Manager turquoise;Idaho;Handcrafted Frozen Bacon Rustic Metal Bike;Keyboard brand;New Mexico;attitude;North Carolina Movies Berkshire;Bahrain Associate;firewall;Fantastic circuit;navigate;methodical Home Loan Account;experiences compress;New Jersey;service-desk;Planner Chips hack;Port intermediate;Chile;Mouse generate China;Iraq;California indexing;Barbados Dollar pixel Cotton;CSS;withdrawal;Garden;context-sensitive monitor;Chief Gorgeous Fresh Gloves override;open-source asynchronous secured line;cutting-edge;Palau Avon;East Caribbean Dollar;invoice Baby synergies;Vanuatu deliverables Rand Loti;Georgia transmitter Distributed
2;New York Granite yellow;Planner United Arab Emirates compelling;Land port;neural;national Frozen;Central next-generation Shoes;Texas tan;Borders;SDD;Wooden;copy;brand withdrawal back up;intangible;transmit Associate;harness Coves;e-business ADP coherent;Keyboard;Chicken deposit;Planner;Investment Account Rubber;Orchard invoice Plastic;Cheese;Texas;24/365;framework Computer;interface Georgia;Frozen mobile Legacy;Officer open-source Oregon;multi-byte;Seamless Maine parsing;utilisation Practical Rubber Chips;e-business deposit impactful;Regional;Strategist matrix;empower;payment;Kids;Metrics payment;Home Loan Account;capability;hack Chair CFA Franc BCEAO;Massachusetts niches;Money Market Account sticky Rustic Rubber Car;SMTP;Generic invoice South Dakota;Tasty haptic;attitude-oriented rich cross-platform;deposit copy;Investment Account
3;Borders;hacking;CSS;e-business;Lodge Riel;alarm bypass Analyst;Tuna Intelligent;fuchsia;Practical Steel Tuna Health Right-sized;Oklahoma Chicken Games;sensor monetize;Metrics Rustic Slovenia;Club Cotton Money Market Account;Bike Licensed;JBOD ivory rich;Diverse Forint projection;cross-platform XSS;Home Loan Account Ridges;ADP Garden;XSS Licensed;alliance violet Table;withdrawal Multi-layered;FTP;olive New York digital;holistic;Locks Baby Car;Cambridgeshire Soft;Savings Account;Avon Lead;Radial;Refined Fresh Gloves Idaho;task-force auxiliary solution;Home Loan Account 5th generation Enhanced;Direct Idaho;Cotton generate;Virginia;Granite Burkina Faso Kids;Refined Soft Pizza 24/365;initiatives neural red;Cambridgeshire emulation methodologies;Producer;Ergonomic Fresh Table;ivory Cambridgeshire portal;pixel Checking Account;array;Buckinghamshire open-source;Awesome XSS;Future;Home Loan Account Future
4;transmit;Marketing;port XSS action-items;Refined Vietnam wireless;Czech Republic Garden;Auto Loan Account;Advanced back-end;Savings Account Cambridgeshire Division;stable Engineer;aggregate Corporate online;Lead;synergy optical;solid state Gloves Tuna;Product open system system-worthy;workforce;overriding invoice;indexing Markets ivory;JBOD;Berkshire methodologies Awesome;quantifying Steel;orchestrate Creek;engage Boliviano Mvdol haptic;web-readiness integrate innovate;withdrawal Mouse;methodology olive Gorgeous;web-enabled Nebraska;programming Handmade Ergonomic;Pass online well-modulated;hacking back up;bus black;Investment Account Tennessee;Global;integrated Frozen Bedfordshire;lavender web-enabled Incredible Granite Bacon;Clothing Administrator functionalities;Optimization;knowledge user Home Loan Account;New Mexico partnerships implement;Rustic Rubber Chicken Incredible;Corner reboot;orange;Expressway ubiquitous content-based;Fish SCSI Handmade;Concrete XSS hack;Handmade Soft Soap;Cambridgeshire Outdoors end-to-end;scalable Handmade;Identity enable;synthesizing Fork
5;Pants;Brazilian Real;generating;cyan Licensed Steel Shoes invoice;Pitcairn Islands HDD olive;Buckinghamshire Towels;Lari platforms;Fantastic Soft Table SDD pixel;Car encoding;payment SQL;invoice Dynamic;program Fresh Reverse-engineered;generate capacitor bluetooth;visualize Uzbekistan;back-end;Maine Buckinghamshire;Baby Visionary Buckinghamshire;pink Sri Lanka;Estate;one-to-one Venezuela withdrawal;Shoes;zero administration;relationships silver Refined;e-markets systems;Baby Data;Re-contextualized Tasty Wooden Car;indigo;leverage maximize;virtual;Turnpike;Yuan Renminbi Intelligent Granite Keyboard Generic Metal Table;PCI New York markets;Personal Loan Account Bike Generic;Argentine Peso transmit;Gorgeous Wooden Keyboard;archive Wisconsin Consultant;Soap Gloves;Assurance;Administrator Concrete AGP;index Auto Loan Account;Croatian Kuna panel orchestration;Generic Sausages;bus;Savings Account client-driven;Keyboard Soft;panel;Won yellow;gold;grey Costa Rica
6;Credit Card Account Engineer;online silver;payment;Unbranded Granite Tuna Handcrafted Plastic Sausages stable;THX solid state invoice;Keyboard;Vermont stable Alaska;Music Principal Bedfordshire;Crossing;morph sexy;payment Solutions wireless;navigating;Customer tan Legacy;Flat;Rubber;deposit Investment Account invoice;synthesizing;Tennessee solid state Sausages;Credit Card Account Home Loan Account navigating;invoice convergence;action-items initiatives;Towels;matrix Gorgeous Steel Sausages ivory;Implementation PCI;deliver Car;Table Investment Account;Croatian Kuna Books;database Home Loan Account parse;paradigms multi-byte;Alaska Implementation Tuna;COM;Christmas Island;dedicated Libyan Arab Jamahiriya;Industrial Investor copying;Facilitator Bike;Auto Loan Account hack;microchip JSON;monitor partnerships Functionality;connect Kenya data-warehouse;proactive Wooden;Keys Security;morph;Profit-focused infrastructures;feed;Implementation Buckinghamshire sky blue;morph;Representative seamless ROI;hard drive Accountability Business-focused;Frozen Plastic Granite
7;wireless global;Strategist Delaware;Intelligent Wooden Table white;Georgia;Personal Loan Account transmitter Colorado;Wooden Avon;schemas;Cambridgeshire primary;Cove back up;portals;Rufiyaa fuchsia;bleeding-edge Frozen;Expanded;incubate Keyboard;lavender Netherlands ROI;Prairie 1080p;Music Belize Berkshire;payment deposit;South Dakota;invoice;Chicken Sports;Handcrafted Wooden Gloves;Borders Small transmitting;Tactics;lime microchip cross-platform;Intelligent Plastic Computer Ergonomic;Buckinghamshire;Intelligent Cotton Pizza card Steel;superstructure Investment Account Representative;programming;Belarus hard drive;Madagascar Idaho Credit Card Account;extranet incentivize Wyoming;Investment Account;deposit Electronics;CSS Awesome;Rhode Island circuit;orange;North Dakota;Games;Refined Frozen Sausages backing up Money Market Account;Optimization national;Rustic transmitting;Metal;mobile Central Lek;Automated Organized;Turkey indexing;FTP;Computers
8;system;THX Handmade Rubber Ball;Cheese;virtual Venezuela Agent;quantify Swedish Krona payment;Handcrafted executive;COM withdrawal;Human task-force;Northern Mariana Islands optical;Tasty Fresh Mouse Engineer;artificial intelligence withdrawal;Nevada;Handcrafted;Prairie Savings Account;Island SDD Facilitator;Music Music repurpose;De-engineered Keyboard compressing;Phased interface card;PNG facilitate;empower applications compressing;Mouse Egypt;Orchard Licensed Rubber Bacon;internet solution;Computer copying;Electronics;salmon;capability Circle vortals;Seychelles Bike International;leverage sticky Vista;Home Loan Account back up withdrawal;Handcrafted Plastic;Buckinghamshire value-added Assurance;cross-platform Locks sky blue;Cotton hub revolutionize;invoice Principal Director;Savings Account;Grenada;Product invoice;European Unit of Account 17(E.U.A.-17) architect;engage;parse Home Loan Account;Soft;Borders GB Ethiopia;optical Cross-platform;hacking executive Practical Wooden Tuna;Oval quantifying;Assimilated;generating Congo;FTP
9;Bike El Salvador Auto Loan Account;Lead;Trail;multi-state Handmade Soft Chicken Tasty Fresh Tuna;intuitive optical;Shoes azure;bluetooth Table;Central Compatible Guinea Franc;lime bricks-and-clicks networks;Small Frozen Tuna;task-force violet collaboration;synthesizing interface;User-centric;SMTP Decentralized;index Multi-tiered overriding;navigating;Handmade;digital;Markets River Kroon;Palau calculating haptic;Australia;Regional Ecuador;Response;Intranet Throughway Baby;models matrices;Intelligent Fresh Ball Home Loan Account;Islands;granular Licensed Cotton Pizza;Checking Account;Metal;override;Handcrafted Kyrgyz Republic;Somoni bi-directional;hacking;International Unbranded Rhode Island;orchestration Cotton;initiative Mobility Expressway;Orchestrator protocol;Customizable Pakistan circuit;Gorgeous Wooden Bike Quetzal Unbranded Plastic Ball;Ireland Mauritania;Shoes;Quality;Producer;Credit Card Account;Executive;generate;EXE;Concrete Square
10;Baby violet Lebanon;asynchronous;Money Market Account;Health monitor payment;leading-edge Marketing;navigate SSL;Cambridgeshire;magnetic success;innovate cross-platform;Factors driver infomediaries;Towels;Checking Account Data utilisation;Kids;Bedfordshire Computers Sausages;mobile District;Product exploit;virtual Brand Credit Card Account;Communications Tala;Associate Metal matrix;tertiary IB Wooden;Saint Barthelemy Fresh;Niue online Bedfordshire;Director;Chicken Industrial Borders;black Chair;Fort;Awesome Associate SDD;Junction Croatian Kuna forecast;Industrial human-resource Diverse;Cambridgeshire Research tangible;Sausages Personal Loan Account Iowa;e-enable;applications Pa'anga;Ergonomic Metal Table;Lakes;Personal Loan Account;Berkshire Cotton Personal Loan Account;Metal Hat protocol;back up quantifying;Personal Loan Account;connect Executive;Rustic world-class;Central knowledge user;transmit;Buckinghamshire Saint Helena;Kuwait;Planner Research;array Borders;transmitter Music
